Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
8/12/2002,28.79417226,29.74220622,28.79417226,29.51914024,212976,0,0
8/13/2002,29.55631609,30.03033304,28.90570536,29.11947632,153576,0,0
8/14/2002,29.18453603,29.18453603,26.56350332,27.11187744,822776,0,0
8/15/2002,27.11187744,27.11187744,27.11187744,27.11187744,0,0,0
8/16/2002,26.9724577,28.25508888,26.5820902,27.04681206,811856,0,0
8/19/2002,27.26987571,27.26987571,26.12666117,26.37760925,205880,0,0
8/20/2002,26.56350332,28.79416849,26.38690956,27.11187744,3773624,0,0
8/21/2002,28.6082624,29.14734119,27.15833318,28.44096375,3011064,0,0
8/22/2002,29.37972043,30.91330277,29.23100885,29.66784859,6732480,0,0
8/23/2002,29.92807737,32.43757454,29.56559501,31.45236397,4841672,0,0
8/26/2002,31.95427184,32.15875058,31.08989037,31.34084129,2576912,0,0
8/27/2002,31.60108431,32.90230543,30.29986319,30.56010628,3694224,0,0
8/28/2002,30.46717563,30.93189767,29.95598139,30.58800507,1674960,0,0
8/29/2002,30.40211625,31.1363765,30.29987684,30.58800507,1236544,0,0
8/30/2002,30.68093883,33.55291945,30.67164382,32.75359726,3762384,0,0
9/2/2002,33.27407687,34.18493035,32.75358795,33.08818817,2389568,0,0
9/3/2002,33.27409101,33.41350759,31.22931447,31.53602982,986784,0,0
9/4/2002,31.13636191,32.53052737,30.77387946,32.2238121,1449856,0,0
9/5/2002,33.20902106,33.35773261,31.60108465,32.0286293,1061360,0,0
9/6/2002,32.15875478,32.15875478,30.49505098,30.83894348,907472,0,0
9/9/2002,29.37042672,31.74050862,29.37042672,30.43928719,880848,0,0
9/10/2002,30.43928719,30.43928719,30.43928719,30.43928719,0,0,0
9/11/2002,30.60658911,31.7498069,30.60658911,31.21072769,635936,0,0
9/12/2002,31.59178114,32.14015219,31.15494444,31.36871529,781968,0,0
9/13/2002,30.2719779,31.39660234,30.21621072,30.47645378,338264,0,0
9/16/2002,30.76458619,30.93188492,29.64925376,29.88161469,288592,0,0
9/17/2002,30.4206888,30.95047281,30.31845227,30.75528908,462952,0,0
9/18/2002,30.57870156,30.67164594,29.55631336,29.80726433,315432,0,0
9/19/2002,29.55631447,30.54152552,29.18453693,29.55631447,490848,0,0
9/20/2002,28.4967353,29.50053304,28.37590596,29.07298851,501072,0,0
9/23/2002,29.27749122,29.35184562,28.45958149,28.5804081,248504,0,0
9/24/2002,28.47815093,28.47815093,27.30705145,27.61376953,267912,0,0
9/25/2002,26.97246232,28.06920495,26.76798353,27.82754898,379544,0,0
9/26/2002,28.40379604,28.71051128,28.06919578,28.2643795,178136,0,0
9/27/2002,28.17143389,28.99863806,28.17143389,28.60827065,206288,0,0
9/30/2002,28.1714431,28.60828,26.97246113,27.56730461,202232,0,0
10/1/2002,27.6974263,28.06920383,26.86092685,27.33494377,240192,0,0
10/2/2002,27.33494377,27.33494377,27.33494377,27.33494377,0,0,0
10/3/2002,27.69742491,29.55631249,27.69742491,28.06920242,673264,0,0
10/4/2002,28.44098574,28.52463514,27.60448616,27.89261436,258296,0,0
10/7/2002,28.07849817,28.25509193,27.53012689,27.77178001,110976,0,0
10/8/2002,27.85542617,28.79416195,27.69741962,28.52462387,227352,0,0
10/9/2002,28.62685221,29.08227884,27.55799247,27.79964828,277040,0,0
10/10/2002,28.62687128,28.62687128,27.24200048,27.82754898,173224,0,0
10/11/2002,28.60827254,28.95216781,28.33873447,28.41309166,192536,0,0
10/14/2002,28.9428723,28.99863948,27.93907437,28.20861244,152744,0,0
10/15/2002,28.20861244,28.20861244,28.20861244,28.20861244,0,0,0
10/16/2002,31.80556007,31.80556007,28.08778579,28.2643795,247760,0,0
10/17/2002,28.44097321,28.44097321,27.90189708,28.2643795,144512,0,0
10/18/2002,28.81275023,29.68642661,28.46885498,28.85922241,512312,0,0
10/21/2002,29.53772366,30.29057372,29.18453614,29.3053627,646296,0,0
10/22/2002,29.55631451,29.55631451,28.06920435,28.24579811,229384,0,0
10/23/2002,28.4409803,28.77558064,27.90190403,28.11567497,153320,0,0
10/24/2002,28.42238717,28.51533154,27.43717912,27.62306786,168744,0,0
10/25/2002,27.13975402,27.57659366,26.9724553,27.05610466,172296,0,0
10/28/2002,26.86091561,27.13974865,26.43337106,26.65643692,134504,0,0
10/29/2002,26.58209764,27.10258683,26.43338604,26.88881302,143024,0,0
10/30/2002,27.13975193,27.8368346,26.95386322,27.34423065,164320,0,0
10/31/2002,27.51153688,27.88331441,27.3628253,27.77178001,118928,0,0
11/1/2002,27.90190954,28.36663153,27.33494814,27.48365974,108792,0,0
11/4/2002,27.88331126,27.88331126,27.4743566,27.68812752,56560,0,0
11/5/2002,27.42789375,27.75319916,27.21411992,27.39071655,70288,0,0
11/6/2002,27.39071655,27.39071655,27.39071655,27.39071655,0,0,0
11/7/2002,27.88329723,29.37040642,27.88329723,28.23648453,204880,0,0
11/8/2002,27.6974281,28.05991066,27.53012934,27.7439003,77664,0,0
11/11/2002,27.88330779,27.88330779,27.26987445,27.32564163,66568,0,0
11/12/2002,27.13975401,27.88330891,27.13975401,27.46505928,106864,0,0
11/13/2002,27.60448556,27.67883994,27.08399638,27.23270798,106264,0,0
11/14/2002,27.66024603,28.18073508,27.24199635,27.60447884,211856,0,0
11/15/2002,28.21791176,28.37591549,27.88331145,28.19932175,154144,0,0
11/18/2002,28.44097556,28.80345801,28.13426029,28.48744774,217672,0,0
11/19/2002,28.48744774,28.48744774,28.48744774,28.48744774,0,0,0
11/20/2002,28.44098033,29.64925728,28.44098033,29.42619133,406128,0,0
11/21/2002,29.97456372,33.25549933,29.97456372,31.97286797,2664024,0,0
11/22/2002,30.77389422,33.59010866,30.77389422,31.48027229,1184016,0,0
11/25/2002,31.7869705,32.12157075,31.04341563,31.42448807,428920,0,0
11/26/2002,31.69403625,32.30746977,31.06201554,31.23860931,367496,0,0
11/27/2002,31.78696606,31.78696606,30.40209589,30.57868958,301128,0,0
11/28/2002,30.87611926,32.51193782,30.86682426,31.82415009,447680,0,0
11/29/2002,31.82415009,31.82415009,31.82415009,31.82415009,0,0,0
12/2/2002,33.36702806,36.4341922,33.06960495,35.23521042,1388680,0,0
12/3/2002,36.06242988,38.98088369,34.7797982,37.25211716,4082608,0,0
12/4/2002,36.60148855,38.06071617,35.51404122,36.0066452,2594928,0,0
12/5/2002,35.78358835,38.00495859,35.78358835,36.91751099,1720264,0,0
12/6/2002,37.54953203,38.42320869,36.90821633,37.88413239,1139968,0,0
12/9/2002,37.73541077,38.46037565,35.70922482,36.06241226,975768,0,0
12/10/2002,35.41182139,37.54954289,35.15157817,36.88963699,837808,0,0
12/11/2002,37.92130019,40.1426699,37.73541146,38.62767792,3286400,0,0
12/12/2002,38.66485057,40.1519602,38.66485057,38.94368362,2568024,0,0
12/13/2002,39.40841129,39.9103103,38.8693351,39.10169601,1112288,0,0
12/16/2002,39.59430475,39.91031507,37.19634095,37.41940689,1231456,0,0
12/17/2002,38.12578651,38.12578651,36.35984326,36.73162079,855656,0,0
12/18/2002,37.14056032,37.71681355,36.13675971,36.38771057,618096,0,0
12/19/2002,37.12197356,40.43079306,36.71301898,39.46417236,3770256,0,0
12/20/2002,39.96607967,40.8583462,39.03663596,39.78948593,2952072,0,0
12/23/2002,39.96608125,39.97537626,38.10719375,38.37673187,1277744,0,0
12/24/2002,38.47896841,40.15196704,38.33955186,39.95678329,1729840,0,0
12/25/2002,39.95678329,39.95678329,39.95678329,39.95678329,0,0,0
12/26/2002,40.2635053,41.60190376,39.59430465,41.09070969,2894448,0,0
12/27/2002,41.37883825,41.54613699,39.99396474,40.16126633,956984,0,0
12/30/2002,40.15197166,42.92171302,39.23182288,42.49417114,4253744,0,0
12/31/2002,42.77301311,45.42192846,41.63909032,44.69696045,9998480,0,0
1/1/2003,44.60399353,46.08180814,44.60399353,45.42190552,6027072,0,0
1/2/2003,45.74721709,46.78819226,43.0611227,43.34925079,5325328,0,0
1/3/2003,44.61331527,45.39404772,43.49798239,43.87905502,4198040,0,0
1/6/2003,44.55753792,44.7527217,42.28969548,42.57782364,4121520,0,0
1/7/2003,43.1262065,43.49798414,41.68556814,42.08522797,2650800,0,0
1/8/2003,42.64287437,43.98127553,42.32686409,43.59090805,2648456,0,0
1/9/2003,43.86974774,44.72483718,43.46079304,44.01845932,2630400,0,0
1/10/2003,44.6133009,44.6133009,41.09070958,41.32307053,1702816,0,0
1/13/2003,41.80638857,42.19675617,40.33786823,41.74132919,2421496,0,0
1/14/2003,42.17814753,43.59090288,42.01084883,42.2989769,2239360,0,0
1/15/2003,42.6428547,43.59088794,42.40120173,43.14475632,2759760,0,0
1/16/2003,43.47008015,44.76200625,42.77299743,43.75820541,2842656,0,0
1/17/2003,43.21913449,43.86974512,42.58711387,42.77300262,1284144,0,0
1/20/2003,42.56850429,42.73580295,41.09998497,41.40670013,928872,0,0
1/21/2003,41.4624862,42.05732963,40.15196995,40.32856369,1147240,0,0
1/22/2003,40.67247054,41.45320294,40.20774853,40.50516891,1081352,0,0
1/23/2003,39.96608109,40.50515733,38.4975611,39.01804733,1001872,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
